,name,cost,level,quantity,total_time,nb_of_ingredients,length_ingredients,beurre,oignon,oeuf,type
99,Chili con carne facile,1,1,4,35,12,307,50,Yes,30,Plat principal
100,Chili con carne simple,2,1,4,90,14,320,0,Yes,0,Plat principal
101,Chili à ma manière,2,1,4,80,12,257,0,Yes,600,Plat principal
102,Risotto au poulet et chorizo,1,2,6,45,15,322,0,Yes,0,Plat principal
103,Madeleines salées courgette chorizo,2,1,40,20,7,181,0,No,6,Amuse-gueule
104,Gratin de pâtes au chorizo,2,1,4,55,9,190,0,Yes,0,Plat principal
105,Sauté de veau au chorizo,1,1,6,80,9,217,0,Yes,0,Plat principal
106,Chou campagnard,1,1,4,35,3,66,0,No,0,Plat principal
107,Gratin de chou-fleur léger,1,1,4,50,10,197,25,No,0,Accompagnement
108,Velouté de chou- fleur,1,1,6,35,9,182,50,No,0,Entrée
109,Chou-fleur gratiné au jambon,1,1,4,60,4,103,0,No,0,Plat principal
113,Choucroute,1,2,5,200,19,469,0,Yes,0,Plat principal
114,Maki de choucroute,3,1,4,55,9,196,40,Yes,0,Plat principal
115,Choucroute ( préparation ),2,1,1,10,4,70,0,No,0,Plat principal
116,Choucroute savernoise,3,2,8,600,16,360,0,Yes,0,Plat principal
117,Soupe à la Choucroute,1,1,6,80,5,135,0,No,0,Plat principal
118,Gratin de clémentines,3,1,6,30,5,120,0,No,4,Dessert
119,Compotée de clémentines,2,1,2,30,6,110,1,No,0,Accompagnement
120,Cailles et clémentine,2,2,2,45,9,230,0,No,0,Plat principal
121,Clémentines à la Russe,3,2,4,90,6,162,0,No,0,Dessert
122,Charlotte aux clémentines,3,1,8,720,9,246,0,No,2,Dessert
123,Flan coco,1,1,6,60,5,121,0,No,3,Dessert
124,Curry de lotte au lait de coco,2,2,8,40,9,193,0,No,0,Plat principal
125,Tarte aux pommes et à la noix de coco,1,1,6,55,7,149,50,No,1,Dessert
126,Tarte aux coings,1,1,6,75,6,136,0,No,2,Dessert
127,Cake aux coings,1,1,10,60,8,187,100,No,3,Dessert
128,Liqueur de coing,1,1,10,10,5,97,0,No,0,Boisson
129,Chutney de coings,2,2,2,90,5,123,0,No,0,Sauce
130,Granité de concombre,1,1,4,190,8,193,0,No,0,Entrée
131,Concombres à la menthe,1,1,4,15,7,152,0,No,0,Entrée
132,Poulet au concombre,2,1,3,50,9,207,0,No,0,Plat principal
133,Sandwichs de concombre,2,1,4,10,5,139,0,No,0,Entrée
134,Pesto de coriandre,2,1,10,10,6,139,0,No,0,Sauce
135,Avocats à la coriandre,1,2,6,15,9,189,0,No,0,Entrée
136,Aubergines à la coriandre,2,2,4,50,10,229,0,Yes,0,Accompagnement
137,Côtelettes à la coréenne,1,1,4,45,7,174,0,Yes,0,Plat principal
138,Côtelettes panées,2,1,6,35,11,252,70,No,4,Plat principal
139,Côtelettes d'agneau panées,2,2,2,18,8,149,0,No,1,Plat principal
140,Côtelettes d'agneau en croûte d'herbes,1,2,4,35,10,272,0,No,2,Plat principal
141,Côtelettes d'agneau au citron et aux herbes,1,1,4,20,7,134,0,No,0,Plat principal
142,Gratin de courge facile,1,1,4,60,7,149,0,No,2,Accompagnement
143,Soupe de courge,1,1,4,45,9,171,0,Yes,0,Entrée
144,Gratin de courge butternut,1,1,4,25,9,199,0,No,0,Plat principal
145,Gratin de courge,1,1,6,65,7,172,0,No,0,Accompagnement
146,Courgettes farcies,3,2,4,70,8,167,0,Yes,0,Plat principal
147,Dauphinois de courgettes,2,2,4,80,10,228,20,No,0,Accompagnement
148,Gratin de courgettes rapide,1,1,4,30,8,165,1,Yes,2,Accompagnement
149,Potage au cresson,2,1,4,40,5,131,50,No,0,Plat principal
150,Velouté de cresson,2,1,4,50,5,107,30,No,0,Entrée
151,Poulet au cresson,2,1,6,80,6,109,0,Yes,0,Plat principal
152,Velouté de cresson au chèvre,1,1,4,25,5,126,1,Yes,0,Entrée
153,Velouté de cresson aux pommes de terre,1,1,4,60,10,203,40,Yes,0,Entrée
154,Blanquette de crevettes,2,2,4,55,12,258,20,Yes,0,Plat principal
